query_id,metric,score_gpt4o,score_sonnet,abs_diff
q07,context_precision_with_reference,1.0,0.0,1.0
q09,context_precision_with_reference,1.0,0.0,1.0
q20,context_precision_with_reference,1.0,0.0,1.0
q15,answer_relevancy,0.0,0.8444,0.8444
q09,context_recall,0.0,0.25,0.25
q04,faithfulness,0.6,0.8,0.2
q09,faithfulness,1.0,0.9375,0.0625
q15,faithfulness,0.6154,0.5714,0.044
q07,faithfulness,0.1667,0.1429,0.0238
q20,answer_relevancy,0.9302,0.927,0.0032
q04,answer_relevancy,0.8708,0.8708,0.0
q04,context_precision_with_reference,1.0,1.0,0.0
q04,context_recall,1.0,1.0,0.0
q07,answer_relevancy,0.0,0.0,0.0
q07,context_recall,0.0,0.0,0.0
q09,answer_relevancy,0.0,0.0,0.0
q15,context_precision_with_reference,1.0,1.0,0.0
q15,context_recall,1.0,1.0,0.0
q20,context_recall,1.0,1.0,0.0
q20,faithfulness,1.0,1.0,0.0
