query_id,metric,score_gpt4o,score_sonnet,abs_diff
q07,context_recall,1.0,0.0,1.0
q15,context_recall,1.0,0.0,1.0
q07,context_precision_with_reference,0.9167,0.0,0.9167
q09,context_precision_with_reference,0.8333,0.0,0.8333
q09,context_recall,1.0,0.25,0.75
q15,faithfulness,0.7333,0.0625,0.6708
q15,answer_relevancy,0.6824,1.0,0.3176
q20,context_recall,0.0,0.2,0.2
q09,faithfulness,0.96,0.8095,0.1505
q04,answer_relevancy,0.99,1.0,0.01
q04,context_precision_with_reference,0.0,0.0,0.0
q04,context_recall,0.0,0.0,0.0
q04,faithfulness,1.0,1.0,0.0
q07,answer_relevancy,0.0,0.0,0.0
q07,faithfulness,1.0,1.0,0.0
q09,answer_relevancy,0.0,0.0,0.0
q15,context_precision_with_reference,0.0,0.0,0.0
q20,answer_relevancy,0.0,0.0,0.0
q20,context_precision_with_reference,0.0,0.0,0.0
q20,faithfulness,1.0,1.0,0.0
